entry_time,exit_time,status,pnl,score,type,risk_pct,year,month,dow,hour,week
2023-01-10 09:30:00,2023-01-10 10:10:00,loss,-93.90916541988219,6,long,0.009390916541988219,2023,1,Tuesday,10,2
2023-01-10 10:25:00,2023-01-10 10:40:00,loss,-74.10113406189417,5,long,0.0074101134061894175,2023,1,Tuesday,10,2
2023-01-10 11:25:00,2023-01-10 11:40:00,loss,-119.5712510366296,6,long,0.011957125103662961,2023,1,Tuesday,11,2
2023-01-10 11:40:00,2023-01-10 12:10:00,loss,-148.838049759652,7,long,0.0148838049759652,2023,1,Tuesday,12,2
2023-01-10 14:05:00,2023-01-10 16:40:00,loss,-90.163505362539,6,long,0.0090163505362539,2023,1,Tuesday,16,2
2023-01-10 17:50:00,2023-01-10 18:15:00,loss,-108.77088673954857,5,long,0.010877088673954857,2023,1,Tuesday,18,2
2023-01-10 18:35:00,2023-01-11 01:30:00,loss,-107.09696090834598,5,long,0.010709696090834598,2023,1,Wednesday,1,2
2023-01-11 08:05:00,2023-01-11 12:10:00,loss,-93.98547633151841,6,long,0.009398547633151842,2023,1,Wednesday,12,2
2023-01-11 18:35:00,2023-01-11 21:55:00,loss,-84.61733867700627,5,long,0.008461733867700627,2023,1,Wednesday,21,2
2023-01-12 09:05:00,2023-01-12 11:35:00,win,173.21684338152014,5,long,0.006928673735260805,2023,1,Thursday,11,2
2023-01-12 11:35:00,2023-01-12 12:00:00,loss,-96.3903418962184,5,long,0.00963903418962184,2023,1,Thursday,12,2
2023-01-12 12:00:00,2023-01-12 12:20:00,win,239.37831221062288,5,long,0.009575132488424915,2023,1,Thursday,12,2
2023-01-12 12:20:00,2023-01-12 13:30:00,loss,-74.18445322499866,5,long,0.007418445322499866,2023,1,Thursday,13,2
2023-01-12 13:40:00,2023-01-12 14:40:00,loss,-48.00000000000001,6,long,0.0048000000000000004,2023,1,Thursday,14,2
2023-01-12 16:00:00,2023-01-13 08:05:00,win,166.7888634001581,5,long,0.006671554536006324,2023,1,Friday,8,2
2023-01-18 08:30:00,2023-01-18 13:00:00,win,150.43361074225717,5,long,0.006017344429690287,2023,1,Wednesday,13,3
2023-01-18 13:00:00,2023-01-18 13:30:00,win,314.3934078652971,6,long,0.012575736314611884,2023,1,Wednesday,13,3
2023-01-18 13:30:00,2023-01-18 13:40:00,loss,-90.67927555921787,6,long,0.009067927555921788,2023,1,Wednesday,13,3
2023-01-18 13:40:00,2023-01-18 15:00:00,loss,-77.92939750007454,6,long,0.007792939750007454,2023,1,Wednesday,15,3
2023-01-19 08:00:00,2023-01-19 09:20:00,loss,-92.24263672233968,6,long,0.009224263672233968,2023,1,Thursday,9,3
2023-01-19 13:30:00,2023-01-19 14:20:00,win,137.73743827130892,5,long,0.005509497530852357,2023,1,Thursday,14,3
2023-01-19 14:30:00,2023-01-19 18:35:00,win,219.39180133280053,6,long,0.008775672053312021,2023,1,Thursday,18,3
2023-01-19 18:35:00,2023-01-19 19:25:00,win,241.83517309750778,5,long,0.009673406923900311,2023,1,Thursday,19,3
2023-01-25 08:05:00,2023-01-25 09:55:00,loss,-71.20356762504927,5,long,0.007120356762504927,2023,1,Wednesday,9,4
2023-01-25 11:55:00,2023-01-25 12:00:00,loss,-81.92459367703067,5,long,0.008192459367703067,2023,1,Wednesday,12,4
2023-01-25 12:35:00,2023-01-25 13:15:00,loss,-115.63087380931746,6,long,0.011563087380931746,2023,1,Wednesday,13,4
2023-01-25 13:15:00,2023-01-25 13:45:00,loss,-80.28151114997188,5,long,0.008028151114997188,2023,1,Wednesday,13,4
2023-01-25 14:50:00,2023-01-25 15:05:00,win,152.16153422075212,5,long,0.006086461368830085,2023,1,Wednesday,15,4
2023-01-25 15:10:00,2023-01-25 15:25:00,loss,-98.38943737852901,7,long,0.009838943737852901,2023,1,Wednesday,15,4
2023-01-25 15:25:00,2023-01-25 17:35:00,win,192.33793242156395,6,long,0.0076935172968625575,2023,1,Wednesday,17,4
2023-01-25 17:35:00,2023-01-25 20:00:00,win,374.2203396410628,6,long,0.014968813585642513,2023,1,Wednesday,20,4
2023-01-26 08:20:00,2023-01-26 09:15:00,loss,-82.49138414095071,6,long,0.008249138414095072,2023,1,Thursday,9,4
2023-01-26 14:15:00,2023-01-26 14:25:00,loss,-49.90047470813726,5,long,0.004990047470813726,2023,1,Thursday,14,4
2023-01-31 15:05:00,2023-02-03 00:00:00,loss,-84.64177345417083,6,long,0.008464177345417084,2023,2,Friday,0,5
2023-02-07 08:00:00,2023-02-07 08:05:00,loss,-93.68450380209941,6,long,0.009368450380209942,2023,2,Tuesday,8,6
2023-02-07 08:25:00,2023-02-07 08:45:00,loss,-52.84143520330723,5,long,0.005284143520330723,2023,2,Tuesday,8,6
2023-02-07 09:20:00,2023-02-07 09:30:00,loss,-57.24767405051144,5,long,0.005724767405051144,2023,2,Tuesday,9,6
2023-02-07 09:30:00,2023-02-07 10:35:00,loss,-59.23228897595375,5,long,0.005923228897595375,2023,2,Tuesday,10,6
2023-02-07 16:10:00,2023-02-07 17:30:00,loss,-61.260824045914305,5,long,0.00612608240459143,2023,2,Tuesday,17,6
2023-02-07 18:00:00,2023-02-07 18:15:00,loss,-76.73198553822837,6,long,0.0076731985538228365,2023,2,Tuesday,18,6
2023-02-08 08:00:00,2023-02-08 08:05:00,loss,-64.50901676762601,6,long,0.0064509016767626,2023,2,Wednesday,8,6
2023-02-08 08:05:00,2023-02-08 13:10:00,loss,-60.19533979191283,6,long,0.006019533979191283,2023,2,Wednesday,13,6
2023-02-08 18:15:00,2023-02-08 18:30:00,loss,-99.51819230464899,5,long,0.0099518192304649,2023,2,Wednesday,18,6
2023-02-08 18:30:00,2023-02-08 19:45:00,loss,-101.85673651931835,5,long,0.010185673651931834,2023,2,Wednesday,19,6
2023-02-09 08:00:00,2023-02-09 09:20:00,loss,-48.29237666598995,5,long,0.004829237666598995,2023,2,Thursday,9,6
2023-02-09 10:30:00,2023-02-09 11:15:00,loss,-80.55651733844425,5,long,0.008055651733844425,2023,2,Thursday,11,6
2023-02-09 12:25:00,2023-02-09 12:30:00,loss,-96.84622914110426,5,long,0.009684622914110427,2023,2,Thursday,12,6
2023-02-09 14:05:00,2023-02-09 14:30:00,loss,-56.06473970238371,5,long,0.005606473970238371,2023,2,Thursday,14,6
2023-02-14 09:00:00,2023-02-14 09:10:00,loss,-60.0874021883507,5,long,0.00600874021883507,2023,2,Tuesday,9,7
2023-02-14 09:10:00,2023-02-14 11:10:00,loss,-60.050694754305646,5,long,0.006005069475430565,2023,2,Tuesday,11,7
2023-02-14 13:35:00,2023-02-14 14:15:00,loss,-32.0,5,long,0.0032,2023,2,Tuesday,14,7
2023-02-28 15:45:00,2023-03-01 05:15:00,win,183.61418362000578,6,long,0.007344567344800231,2023,3,Wednesday,5,9
2023-03-01 08:35:00,2023-03-01 09:15:00,loss,-57.364716125645636,5,long,0.005736471612564563,2023,3,Wednesday,9,9
2023-03-01 11:00:00,2023-03-01 12:55:00,win,312.1995026066753,6,long,0.012487980104267013,2023,3,Wednesday,12,9
2023-03-01 12:55:00,2023-03-01 13:05:00,loss,-84.5333415277832,5,long,0.00845333415277832,2023,3,Wednesday,13,9
2023-03-01 13:20:00,2023-03-01 13:30:00,loss,-69.65250102437565,5,long,0.0069652501024375655,2023,3,Wednesday,13,9
2023-03-01 14:05:00,2023-03-01 15:05:00,loss,-66.10584678407918,5,long,0.006610584678407918,2023,3,Wednesday,15,9
2023-03-01 15:40:00,2023-03-01 16:20:00,loss,-52.085583437292094,5,long,0.0052085583437292094,2023,3,Wednesday,16,9
2023-03-01 16:50:00,2023-03-01 17:20:00,loss,-110.68544825810193,6,long,0.011068544825810192,2023,3,Wednesday,17,9
2023-03-02 09:10:00,2023-03-02 09:25:00,loss,-58.50120948168544,5,long,0.005850120948168544,2023,3,Thursday,9,9
2023-03-02 12:00:00,2023-03-02 12:15:00,loss,-126.90967069477215,6,long,0.012690967069477215,2023,3,Thursday,12,9
2023-03-02 12:15:00,2023-03-02 12:25:00,loss,-84.09787410553295,5,long,0.008409787410553295,2023,3,Thursday,12,9
2023-03-02 14:30:00,2023-03-02 14:45:00,loss,-62.447948528885775,5,long,0.006244794852888577,2023,3,Thursday,14,9
2023-03-02 14:45:00,2023-03-03 06:25:00,win,149.35259480683155,5,long,0.005974103792273262,2023,3,Friday,6,9
2023-03-07 08:00:00,2023-03-07 08:10:00,loss,-84.6496640338493,6,long,0.00846496640338493,2023,3,Tuesday,8,10
2023-03-09 14:10:00,2023-03-09 14:40:00,win,112.07404128830305,5,long,0.004482961651532122,2023,3,Thursday,14,10
2023-03-09 15:20:00,2023-03-09 16:05:00,loss,-70.67713034945882,6,long,0.007067713034945882,2023,3,Thursday,16,10
2023-03-09 17:30:00,2023-03-09 18:40:00,win,376.8950597092211,6,long,0.015075802388368843,2023,3,Thursday,18,10
2023-03-09 18:50:00,2023-03-09 19:25:00,loss,-100.63191740006076,5,long,0.010063191740006076,2023,3,Thursday,19,10
2023-03-16 08:00:00,2023-03-16 11:10:00,win,271.94588432760617,7,long,0.010877835373104246,2023,3,Thursday,11,11
2023-03-16 11:10:00,2023-03-16 12:20:00,win,389.0385235245669,6,long,0.015561540940982678,2023,3,Thursday,12,11
2023-03-16 12:25:00,2023-03-16 12:30:00,loss,-141.28809635129932,7,long,0.01412880963512993,2023,3,Thursday,12,11
2023-03-16 12:30:00,2023-03-16 13:35:00,loss,-122.55304116135883,7,long,0.012255304116135884,2023,3,Thursday,13,11
2023-03-16 14:15:00,2023-03-16 14:50:00,loss,-53.66836532538328,5,long,0.0053668365325383275,2023,3,Thursday,14,11
2023-03-16 17:10:00,2023-03-16 17:45:00,loss,-137.25601508529198,6,long,0.013725601508529197,2023,3,Thursday,17,11
