entry_time,exit_time,status,pnl,score,type
2021-08-04 13:50:00,2021-08-04 14:00:00,loss,-158.4562640716714,5,long
2021-08-04 14:00:00,2021-08-04 14:15:00,win,392.9715348977451,5,short
2021-08-04 18:30:00,2021-08-04 19:35:00,loss,-160.33238623828,5,short
2021-08-05 08:30:00,2021-08-05 08:55:00,loss,-159.04972714837376,5,short
2021-08-05 09:05:00,2021-08-05 10:15:00,loss,-157.77732933118676,5,short
2021-08-05 10:15:00,2021-08-05 12:15:00,loss,-156.51511069653728,5,long
2021-08-05 12:15:00,2021-08-05 13:40:00,win,388.15747452741243,5,short
2021-08-05 14:10:00,2021-08-06 10:50:00,win,593.880936026941,6,short
2021-08-11 10:00:00,2021-08-11 10:55:00,win,407.7982427384995,5,long
2021-08-11 11:35:00,2021-08-11 12:20:00,loss,-166.38168303730777,5,long
2021-08-11 12:30:00,2021-08-11 12:35:00,win,412.62657393252334,5,long
2021-08-11 12:50:00,2021-08-11 15:30:00,win,631.3186581167607,6,long
2021-08-11 15:35:00,2021-08-12 07:35:00,win,433.50547857350904,5,long
2021-08-12 08:00:00,2021-08-12 08:10:00,loss,-265.3053528869875,6,long
2021-08-12 08:45:00,2021-08-12 09:40:00,loss,-174.74779243489579,5,long
2021-08-12 10:20:00,2021-08-12 12:20:00,win,433.37452523854154,5,short
2021-08-12 12:20:00,2021-08-12 12:45:00,loss,-265.22520944598745,6,short
2021-08-12 12:50:00,2021-08-12 13:35:00,win,436.7375115543927,5,short
2021-08-12 13:40:00,2021-08-12 15:40:00,loss,-334.10419633911033,7,short
2021-08-12 15:55:00,2021-08-13 06:05:00,win,438.79017785869826,5,long
2021-08-18 09:50:00,2021-08-18 10:20:00,loss,-179.02639256634887,5,long
2021-08-18 11:50:00,2021-08-18 12:20:00,win,443.98545356454514,5,long
2021-08-18 12:20:00,2021-08-18 12:50:00,loss,-271.71909758150167,6,long
2021-08-18 12:50:00,2021-08-18 13:30:00,loss,-335.5730855131545,7,long
2021-08-18 16:00:00,2021-08-18 16:15:00,loss,-176.2877275895772,5,long
2021-08-18 16:25:00,2021-08-18 17:45:00,loss,-174.87742576886055,5,long
2021-08-18 18:10:00,2021-08-19 01:55:00,loss,-260.2176095440645,6,long
2021-08-19 08:50:00,2021-08-19 13:05:00,win,642.7374955738394,6,long
2021-08-19 13:05:00,2021-08-19 13:20:00,loss,-264.80784817642177,6,long
2021-08-19 13:20:00,2021-08-19 13:30:00,loss,-261.63015399830476,6,long
2021-08-19 17:50:00,2021-08-19 18:30:00,win,430.8176535838752,5,short
2021-08-19 18:30:00,2021-08-19 18:45:00,loss,-175.7736026622211,5,short
2021-08-25 08:00:00,2021-08-25 08:10:00,loss,-174.36741384092332,5,short
2021-08-25 08:30:00,2021-08-25 12:45:00,loss,-172.97247453019594,5,short
2021-08-25 12:45:00,2021-08-25 13:30:00,loss,-171.58869473395436,5,long
2021-08-25 13:30:00,2021-08-25 14:35:00,win,425.5399629402068,5,short
2021-08-25 14:35:00,2021-08-25 16:35:00,loss,-260.43045731940657,6,short
2021-08-25 17:20:00,2021-08-25 18:10:00,loss,-171.53686122104915,5,short
2021-08-25 18:15:00,2021-08-25 19:35:00,loss,-170.16456633128075,5,long
2021-08-31 08:15:00,2021-08-31 08:35:00,loss,-253.20487470094574,6,long
2021-08-31 10:15:00,2021-08-31 10:45:00,loss,-166.77761080302295,5,long
2021-08-31 10:50:00,2021-08-31 12:55:00,win,413.6084747914969,5,short
2021-08-31 13:20:00,2021-08-31 13:30:00,loss,-168.75225771493072,5,short
2021-08-31 14:50:00,2021-08-31 16:35:00,loss,-251.1033594798169,6,short
2021-08-31 16:50:00,2021-09-01 01:40:00,loss,-165.39341277737273,5,long
2021-09-01 11:00:00,2021-09-01 11:20:00,loss,-164.07026547515375,5,long
2021-09-01 11:40:00,2021-09-01 11:50:00,loss,-162.75770335135252,5,short
2021-09-01 12:15:00,2021-09-01 12:20:00,loss,-242.18346258681254,6,long
2021-09-01 12:20:00,2021-09-01 12:45:00,win,598.1931525894269,6,long
2021-09-01 13:00:00,2021-09-01 13:10:00,loss,-164.3037192445626,5,long
2021-09-01 17:10:00,2021-09-01 19:15:00,loss,-162.9892894906061,5,short
2021-09-02 08:00:00,2021-09-02 11:25:00,loss,-161.68537517468124,5,long
2021-09-02 11:50:00,2021-09-02 12:15:00,loss,-160.3918921732838,5,long
2021-09-02 12:25:00,2021-09-02 12:40:00,win,397.7718925897438,5,short
2021-09-02 12:40:00,2021-09-02 12:55:00,loss,-162.29093217661546,5,short
